region,solar_radiation,date
북춘천,0.0,2022-06-01-00:00
북춘천,0.0,2022-06-01-01:00
북춘천,0.0,2022-06-01-02:00
북춘천,0.0,2022-06-01-03:00
북춘천,0.0,2022-06-01-04:00
북춘천,0.0,2022-06-01-05:00
북춘천,0.05,2022-06-01-06:00
북춘천,0.52,2022-06-01-07:00
북춘천,1.14,2022-06-01-08:00
북춘천,1.68,2022-06-01-09:00
북춘천,2.51,2022-06-01-10:00
북춘천,2.82,2022-06-01-11:00
북춘천,3.03,2022-06-01-12:00
북춘천,3.38,2022-06-01-13:00
북춘천,3.44,2022-06-01-14:00
북춘천,3.1,2022-06-01-15:00
북춘천,2.62,2022-06-01-16:00
북춘천,1.95,2022-06-01-17:00
북춘천,1.26,2022-06-01-18:00
북춘천,0.53,2022-06-01-19:00
북춘천,0.06,2022-06-01-20:00
북춘천,0.0,2022-06-01-21:00
북춘천,0.0,2022-06-02-00:00
북춘천,0.0,2022-06-02-01:00
북춘천,0.0,2022-06-02-02:00
북춘천,0.0,2022-06-02-03:00
북춘천,0.0,2022-06-02-04:00
북춘천,0.0,2022-06-02-05:00
북춘천,0.07,2022-06-02-06:00
북춘천,0.58,2022-06-02-07:00
북춘천,1.31,2022-06-02-08:00
북춘천,2.06,2022-06-02-09:00
북춘천,2.69,2022-06-02-10:00
북춘천,3.16,2022-06-02-11:00
북춘천,3.4,2022-06-02-12:00
북춘천,3.36,2022-06-02-13:00
북춘천,2.98,2022-06-02-14:00
북춘천,2.55,2022-06-02-15:00
북춘천,1.98,2022-06-02-16:00
북춘천,1.78,2022-06-02-17:00
북춘천,1.25,2022-06-02-18:00
북춘천,0.52,2022-06-02-19:00
북춘천,0.07,2022-06-02-20:00
북춘천,0.0,2022-06-02-21:00
북춘천,0.0,2022-06-03-00:00
북춘천,0.0,2022-06-03-01:00
북춘천,0.0,2022-06-03-02:00
북춘천,0.0,2022-06-03-03:00
북춘천,0.0,2022-06-03-04:00
북춘천,0.0,2022-06-03-05:00
북춘천,0.07,2022-06-03-06:00
북춘천,0.52,2022-06-03-07:00
북춘천,1.22,2022-06-03-08:00
북춘천,1.96,2022-06-03-09:00
북춘천,2.56,2022-06-03-10:00
북춘천,3.08,2022-06-03-11:00
북춘천,3.34,2022-06-03-12:00
북춘천,3.53,2022-06-03-13:00
북춘천,3.45,2022-06-03-14:00
북춘천,3.04,2022-06-03-15:00
북춘천,2.46,2022-06-03-16:00
북춘천,1.81,2022-06-03-17:00
북춘천,1.1,2022-06-03-18:00
북춘천,0.56,2022-06-03-19:00
북춘천,0.08,2022-06-03-20:00
북춘천,0.0,2022-06-03-21:00
북춘천,0.0,2022-06-04-00:00
북춘천,0.0,2022-06-04-01:00
북춘천,0.0,2022-06-04-02:00
북춘천,0.0,2022-06-04-03:00
북춘천,0.0,2022-06-04-04:00
북춘천,0.0,2022-06-04-05:00
북춘천,0.06,2022-06-04-06:00
북춘천,0.46,2022-06-04-07:00
북춘천,1.02,2022-06-04-08:00
북춘천,1.73,2022-06-04-09:00
북춘천,2.47,2022-06-04-10:00
북춘천,3.04,2022-06-04-11:00
북춘천,2.63,2022-06-04-12:00
북춘천,2.58,2022-06-04-13:00
북춘천,2.1,2022-06-04-14:00
북춘천,1.7,2022-06-04-15:00
북춘천,1.04,2022-06-04-16:00
북춘천,0.61,2022-06-04-17:00
북춘천,0.46,2022-06-04-18:00
북춘천,0.38,2022-06-04-19:00
북춘천,0.04,2022-06-04-20:00
북춘천,0.0,2022-06-04-21:00
북춘천,0.0,2022-06-05-00:00
북춘천,0.0,2022-06-05-01:00
북춘천,0.0,2022-06-05-02:00
북춘천,0.0,2022-06-05-03:00
북춘천,0.0,2022-06-05-04:00
북춘천,0.0,2022-06-05-05:00
북춘천,0.05,2022-06-05-06:00
북춘천,0.24,2022-06-05-07:00
북춘천,0.38,2022-06-05-08:00
북춘천,0.57,2022-06-05-09:00
북춘천,1.12,2022-06-05-10:00
북춘천,1.78,2022-06-05-11:00
북춘천,1.74,2022-06-05-12:00
북춘천,0.61,2022-06-05-13:00
북춘천,0.42,2022-06-05-14:00
북춘천,0.26,2022-06-05-15:00
북춘천,0.36,2022-06-05-16:00
북춘천,0.24,2022-06-05-17:00
북춘천,0.17,2022-06-05-18:00
북춘천,0.04,2022-06-05-19:00
북춘천,0.0,2022-06-05-20:00
북춘천,0.0,2022-06-05-21:00
북춘천,0.0,2022-06-06-00:00
북춘천,0.0,2022-06-06-01:00
북춘천,0.0,2022-06-06-02:00
북춘천,0.0,2022-06-06-03:00
북춘천,0.0,2022-06-06-04:00
북춘천,0.0,2022-06-06-05:00
북춘천,0.0,2022-06-06-06:00
북춘천,0.04,2022-06-06-07:00
북춘천,0.17,2022-06-06-08:00
북춘천,0.33,2022-06-06-09:00
북춘천,1.0,2022-06-06-10:00
북춘천,1.49,2022-06-06-11:00
북춘천,1.26,2022-06-06-12:00
북춘천,0.99,2022-06-06-13:00
북춘천,1.65,2022-06-06-14:00
북춘천,1.68,2022-06-06-15:00
북춘천,1.74,2022-06-06-16:00
북춘천,1.86,2022-06-06-17:00
북춘천,1.0,2022-06-06-18:00
북춘천,0.35,2022-06-06-19:00
북춘천,0.05,2022-06-06-20:00
북춘천,0.0,2022-06-06-21:00
북춘천,0.0,2022-06-07-00:00
북춘천,0.0,2022-06-07-01:00
북춘천,0.0,2022-06-07-02:00
북춘천,0.0,2022-06-07-03:00
북춘천,0.0,2022-06-07-04:00
북춘천,0.0,2022-06-07-05:00
북춘천,0.07,2022-06-07-06:00
북춘천,0.67,2022-06-07-07:00
북춘천,1.49,2022-06-07-08:00
북춘천,2.0,2022-06-07-09:00
북춘천,2.46,2022-06-07-10:00
북춘천,1.95,2022-06-07-11:00
북춘천,1.92,2022-06-07-12:00
북춘천,2.34,2022-06-07-13:00
북춘천,1.51,2022-06-07-14:00
북춘천,1.0,2022-06-07-15:00
북춘천,1.73,2022-06-07-16:00
북춘천,0.82,2022-06-07-17:00
북춘천,0.92,2022-06-07-18:00
북춘천,0.22,2022-06-07-19:00
북춘천,0.04,2022-06-07-20:00
북춘천,0.0,2022-06-07-21:00
북춘천,0.0,2022-06-08-00:00
북춘천,0.0,2022-06-08-01:00
북춘천,0.0,2022-06-08-02:00
북춘천,0.0,2022-06-08-03:00
북춘천,0.0,2022-06-08-04:00
북춘천,0.0,2022-06-08-05:00
북춘천,0.08,2022-06-08-06:00
북춘천,0.35,2022-06-08-07:00
북춘천,0.67,2022-06-08-08:00
북춘천,1.46,2022-06-08-09:00
북춘천,1.79,2022-06-08-10:00
북춘천,3.24,2022-06-08-11:00
북춘천,3.72,2022-06-08-12:00
