,region,solar_radiation,date
0,북춘천,0.0,2022-06-01-00:00
1,북춘천,0.0,2022-06-01-01:00
2,북춘천,0.0,2022-06-01-02:00
3,북춘천,0.0,2022-06-01-03:00
4,북춘천,0.0,2022-06-01-04:00
5,북춘천,0.0,2022-06-01-05:00
6,북춘천,0.05,2022-06-01-06:00
7,북춘천,0.52,2022-06-01-07:00
8,북춘천,1.14,2022-06-01-08:00
9,북춘천,1.68,2022-06-01-09:00
10,북춘천,2.51,2022-06-01-10:00
11,북춘천,2.82,2022-06-01-11:00
12,북춘천,3.03,2022-06-01-12:00
13,북춘천,3.38,2022-06-01-13:00
14,북춘천,3.44,2022-06-01-14:00
15,북춘천,3.1,2022-06-01-15:00
16,북춘천,2.62,2022-06-01-16:00
17,북춘천,1.95,2022-06-01-17:00
18,북춘천,1.26,2022-06-01-18:00
19,북춘천,0.53,2022-06-01-19:00
20,북춘천,0.06,2022-06-01-20:00
21,북춘천,0.0,2022-06-01-21:00
22,북춘천,0.0,2022-06-01-22:00
23,북춘천,0.0,2022-06-01-23:00
24,북춘천,0.0,2022-06-02-00:00
25,북춘천,0.0,2022-06-02-01:00
26,북춘천,0.0,2022-06-02-02:00
27,북춘천,0.0,2022-06-02-03:00
28,북춘천,0.0,2022-06-02-04:00
29,북춘천,0.0,2022-06-02-05:00
30,북춘천,0.07,2022-06-02-06:00
31,북춘천,0.58,2022-06-02-07:00
32,북춘천,1.31,2022-06-02-08:00
33,북춘천,2.06,2022-06-02-09:00
34,북춘천,2.69,2022-06-02-10:00
35,북춘천,3.16,2022-06-02-11:00
36,북춘천,3.4,2022-06-02-12:00
37,북춘천,3.36,2022-06-02-13:00
38,북춘천,2.98,2022-06-02-14:00
39,북춘천,2.55,2022-06-02-15:00
40,북춘천,1.98,2022-06-02-16:00
41,북춘천,1.78,2022-06-02-17:00
42,북춘천,1.25,2022-06-02-18:00
43,북춘천,0.52,2022-06-02-19:00
44,북춘천,0.07,2022-06-02-20:00
45,북춘천,0.0,2022-06-02-21:00
46,북춘천,0.0,2022-06-02-22:00
47,북춘천,0.0,2022-06-02-23:00
48,북춘천,0.0,2022-06-03-00:00
49,북춘천,0.0,2022-06-03-01:00
50,북춘천,0.0,2022-06-03-02:00
51,북춘천,0.0,2022-06-03-03:00
52,북춘천,0.0,2022-06-03-04:00
53,북춘천,0.0,2022-06-03-05:00
54,북춘천,0.07,2022-06-03-06:00
55,북춘천,0.52,2022-06-03-07:00
56,북춘천,1.22,2022-06-03-08:00
57,북춘천,1.96,2022-06-03-09:00
58,북춘천,2.56,2022-06-03-10:00
59,북춘천,3.08,2022-06-03-11:00
60,북춘천,3.34,2022-06-03-12:00
61,북춘천,3.53,2022-06-03-13:00
62,북춘천,3.45,2022-06-03-14:00
63,북춘천,3.04,2022-06-03-15:00
64,북춘천,2.46,2022-06-03-16:00
65,북춘천,1.81,2022-06-03-17:00
66,북춘천,1.1,2022-06-03-18:00
67,북춘천,0.56,2022-06-03-19:00
68,북춘천,0.08,2022-06-03-20:00
69,북춘천,0.0,2022-06-03-21:00
70,북춘천,0.0,2022-06-03-22:00
71,북춘천,0.0,2022-06-03-23:00
72,북춘천,0.0,2022-06-04-00:00
73,북춘천,0.0,2022-06-04-01:00
74,북춘천,0.0,2022-06-04-02:00
75,북춘천,0.0,2022-06-04-03:00
76,북춘천,0.0,2022-06-04-04:00
77,북춘천,0.0,2022-06-04-05:00
78,북춘천,0.06,2022-06-04-06:00
79,북춘천,0.46,2022-06-04-07:00
80,북춘천,1.02,2022-06-04-08:00
81,북춘천,1.73,2022-06-04-09:00
82,북춘천,2.47,2022-06-04-10:00
83,북춘천,3.04,2022-06-04-11:00
84,북춘천,2.63,2022-06-04-12:00
85,북춘천,2.58,2022-06-04-13:00
86,북춘천,2.1,2022-06-04-14:00
87,북춘천,1.7,2022-06-04-15:00
88,북춘천,1.04,2022-06-04-16:00
89,북춘천,0.61,2022-06-04-17:00
90,북춘천,0.46,2022-06-04-18:00
91,북춘천,0.38,2022-06-04-19:00
92,북춘천,0.04,2022-06-04-20:00
93,북춘천,0.0,2022-06-04-21:00
94,북춘천,0.0,2022-06-04-22:00
95,북춘천,0.0,2022-06-04-23:00
96,북춘천,0.0,2022-06-05-00:00
97,북춘천,0.0,2022-06-05-01:00
98,북춘천,0.0,2022-06-05-02:00
99,북춘천,0.0,2022-06-05-03:00
100,북춘천,0.0,2022-06-05-04:00
101,북춘천,0.0,2022-06-05-05:00
102,북춘천,0.05,2022-06-05-06:00
103,북춘천,0.24,2022-06-05-07:00
104,북춘천,0.38,2022-06-05-08:00
105,북춘천,0.57,2022-06-05-09:00
106,북춘천,1.12,2022-06-05-10:00
107,북춘천,1.78,2022-06-05-11:00
108,북춘천,1.74,2022-06-05-12:00
109,북춘천,0.61,2022-06-05-13:00
110,북춘천,0.42,2022-06-05-14:00
111,북춘천,0.26,2022-06-05-15:00
112,북춘천,0.36,2022-06-05-16:00
113,북춘천,0.24,2022-06-05-17:00
114,북춘천,0.17,2022-06-05-18:00
115,북춘천,0.04,2022-06-05-19:00
116,북춘천,0.0,2022-06-05-20:00
117,북춘천,0.0,2022-06-05-21:00
118,북춘천,0.0,2022-06-05-22:00
119,북춘천,0.0,2022-06-05-23:00
120,북춘천,0.0,2022-06-06-00:00
121,북춘천,0.0,2022-06-06-01:00
122,북춘천,0.0,2022-06-06-02:00
123,북춘천,0.0,2022-06-06-03:00
124,북춘천,0.0,2022-06-06-04:00
125,북춘천,0.0,2022-06-06-05:00
126,북춘천,0.0,2022-06-06-06:00
127,북춘천,0.04,2022-06-06-07:00
128,북춘천,0.17,2022-06-06-08:00
129,북춘천,0.33,2022-06-06-09:00
130,북춘천,1.0,2022-06-06-10:00
131,북춘천,1.49,2022-06-06-11:00
132,북춘천,1.26,2022-06-06-12:00
133,북춘천,0.99,2022-06-06-13:00
134,북춘천,1.65,2022-06-06-14:00
135,북춘천,1.68,2022-06-06-15:00
136,북춘천,1.74,2022-06-06-16:00
137,북춘천,1.86,2022-06-06-17:00
138,북춘천,1.0,2022-06-06-18:00
139,북춘천,0.35,2022-06-06-19:00
140,북춘천,0.05,2022-06-06-20:00
141,북춘천,0.0,2022-06-06-21:00
142,북춘천,0.0,2022-06-06-22:00
143,북춘천,0.0,2022-06-06-23:00
144,북춘천,0.0,2022-06-07-00:00
145,북춘천,0.0,2022-06-07-01:00
146,북춘천,0.0,2022-06-07-02:00
147,북춘천,0.0,2022-06-07-03:00
148,북춘천,0.0,2022-06-07-04:00
149,북춘천,0.0,2022-06-07-05:00
150,북춘천,0.07,2022-06-07-06:00
151,북춘천,0.67,2022-06-07-07:00
152,북춘천,1.49,2022-06-07-08:00
