"yU1","yU2","yU3","yU4","yU5","yU6","yU7","yU8","yU9","yU10","yU11","yU12","yU13","yU14","yU15","yU16","yU17","yU18","yU19","yU20","yU21","yU22","yU23","yU24","yU25","yU26","yU27","yU28","yU29","yU30","yU31","yU32","yU33","yU34","yU35","yU36","yU37","yU38","yU39","yU40","yU41","yU42","yU43","yU44"
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1296,0.74,0.722,1.4636,1.1984,1.2,1.44,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
1.1508,0.773200000000001,0.747200000000001,1.4636,1.2108,1.2128,1.4552,1.1596,1.604,1.6756,2.4,2.23,2.24,2.5684,2.12,2.3616,2.17,3.32,1.872,2.4404,3.0144,2.92,3.02,3.1148,3.48,3.1776,3.3032,2.3364,3.1348,2.8,3.0996,2.79,2.8084,3.2604,2.9368,3,3.2828,3.522,2.676,3.25,3.2952,2.688,1.982,2.8848
