region,solar_radiation,date
북춘천,0.0,2022-08-15-00:00
북춘천,0.0,2022-08-15-01:00
북춘천,0.0,2022-08-15-02:00
북춘천,0.0,2022-08-15-03:00
북춘천,0.0,2022-08-15-04:00
북춘천,0.0,2022-08-15-05:00
북춘천,0.0,2022-08-15-06:00
북춘천,0.0,2022-08-15-07:00
북춘천,0.09,2022-08-15-08:00
북춘천,0.1,2022-08-15-09:00
북춘천,0.26,2022-08-15-10:00
북춘천,0.47,2022-08-15-11:00
북춘천,0.88,2022-08-15-12:00
북춘천,1.14,2022-08-15-13:00
북춘천,0.89,2022-08-15-14:00
북춘천,0.38,2022-08-15-15:00
북춘천,0.26,2022-08-15-16:00
북춘천,0.17,2022-08-15-17:00
북춘천,0.07,2022-08-15-18:00
북춘천,0.03,2022-08-15-19:00
북춘천,0.01,2022-08-15-20:00
북춘천,0.0,2022-08-15-21:00
북춘천,0.0,2022-08-15-22:00
북춘천,0.0,2022-08-15-23:00
북춘천,0.0,2022-08-16-00:00
북춘천,0.0,2022-08-16-01:00
북춘천,0.0,2022-08-16-02:00
북춘천,0.0,2022-08-16-03:00
북춘천,0.0,2022-08-16-04:00
북춘천,0.0,2022-08-16-05:00
북춘천,0.0,2022-08-16-06:00
북춘천,0.2,2022-08-16-07:00
북춘천,0.79,2022-08-16-08:00
북춘천,1.67,2022-08-16-09:00
북춘천,2.46,2022-08-16-10:00
북춘천,3.15,2022-08-16-11:00
북춘천,3.19,2022-08-16-12:00
북춘천,3.51,2022-08-16-13:00
북춘천,3.58,2022-08-16-14:00
북춘천,2.75,2022-08-16-15:00
북춘천,2.2,2022-08-16-16:00
북춘천,1.88,2022-08-16-17:00
북춘천,1.1,2022-08-16-18:00
북춘천,0.35,2022-08-16-19:00
북춘천,0.01,2022-08-16-20:00
북춘천,0.0,2022-08-16-21:00
북춘천,0.0,2022-08-16-22:00
북춘천,0.0,2022-08-16-23:00
북춘천,0.0,2022-08-17-00:00
북춘천,0.0,2022-08-17-01:00
북춘천,0.0,2022-08-17-02:00
북춘천,0.0,2022-08-17-03:00
북춘천,0.0,2022-08-17-04:00
북춘천,0.0,2022-08-17-05:00
북춘천,0.0,2022-08-17-06:00
