dataset,method,lags,nof_filters,epoch,mse,calculation_time
data2,STGCN,4,32,50,0.18383832275867462,297.82719349861145
data2,STGCN,4,32,50,0.19764399528503418,297.397390127182
data2,STGCN,4,32,50,0.1745721399784088,344.6646819114685
data2,STGCN,4,32,50,0.17585551738739014,412.45874643325806
data2,STGCN,4,32,50,0.18339131772518158,403.8185226917267
data2,STGCN,4,32,50,0.1826532483100891,412.4427056312561
data2,STGCN,4,32,50,0.1733568161725998,364.27188420295715
data2,STGCN,4,32,50,0.18098823726177216,299.3654992580414
data2,STGCN,4,32,50,0.1949956864118576,300.3167779445648
data2,STGCN,4,32,50,0.19289478659629822,300.1156532764435
data2,STGCN,4,32,50,0.17172375321388245,299.16404938697815
data2,STGCN,4,32,50,0.17812111973762512,299.81902289390564
data2,STGCN,4,32,50,0.17451241612434387,300.4905517101288
data2,STGCN,4,32,50,0.17511235177516937,299.5842447280884
data2,STGCN,4,32,50,0.18014255166053772,300.21829891204834
data2,STGCN,4,32,50,0.18079110980033875,300.6899559497833
data2,STGCN,4,32,50,0.1661619395017624,301.7067458629608
data2,STGCN,4,32,50,0.18252870440483093,299.5646800994873
data2,STGCN,4,32,50,0.17612531781196594,300.48664903640747
data2,STGCN,4,32,50,0.17723678052425385,299.19854831695557
data2,STGCN,4,32,50,0.18149511516094208,299.8313364982605
data2,STGCN,4,32,50,0.19002003967761993,301.64314341545105
data2,STGCN,4,32,50,0.1790182888507843,299.060010433197
data2,STGCN,4,32,50,0.17611631751060486,299.34462213516235
data2,STGCN,4,32,50,0.19965867698192596,299.757764339447
data2,STGCN,4,32,50,0.17791302502155304,299.740375995636
data2,STGCN,4,32,50,0.19157923758029938,299.84421730041504
data2,STGCN,4,32,50,0.18170800805091858,412.67296409606934
data2,STGCN,4,32,50,0.17494915425777435,428.4299876689911
data2,STGCN,4,32,50,0.1895993947982788,298.493460893631
