dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,,4,16,100,0.19238276779651642,0.1723804920911789,1095.3115448951721
data2,EPT-STGCN,,4,32,100,0.18203607201576233,0.16208280622959137,1117.0312051773071
data2,EPT-STGCN,,4,64,100,0.18256875872612,0.16346460580825806,1141.5913724899292
data2,EPT-STGCN,,8,16,100,0.19291865825653076,0.1688058227300644,919.130069732666
data2,EPT-STGCN,,8,32,100,0.19945882260799408,0.17362001538276672,839.5381259918213
data2,EPT-STGCN,,8,64,100,0.20569568872451782,0.17541518807411194,869.9199934005737
data2,EPT-STGCN,,12,16,100,0.20710842311382294,0.17995476722717285,855.0590071678162
data2,EPT-STGCN,,12,32,100,0.19837991893291473,0.17121216654777527,863.1725068092346
data2,EPT-STGCN,,12,64,100,0.20029734075069427,0.17416070401668549,889.919029712677
data2,EPT-STGCN,,24,16,100,0.2170621156692505,0.188447505235672,792.3378746509552
data2,EPT-STGCN,,24,32,100,0.2203662395477295,0.19035868346691132,807.8071053028107
data2,EPT-STGCN,,24,64,100,0.2361346334218979,0.1965685933828354,854.1776342391968
data2,EPT-STGCN,,4,16,100,0.1842636913061142,0.16694223880767822,809.8321330547333
data2,EPT-STGCN,,4,32,100,0.18241998553276062,0.161342054605484,823.7086174488068
data2,EPT-STGCN,,4,64,100,0.1796969324350357,0.1638873666524887,850.0903799533844
data2,EPT-STGCN,,8,16,100,0.19518159329891205,0.16757285594940186,841.6242275238037
data2,EPT-STGCN,,8,32,100,0.1983785331249237,0.16866949200630188,834.7519702911377
data2,EPT-STGCN,,8,64,100,0.19273395836353302,0.16590569913387299,871.202440738678
data2,EPT-STGCN,,12,16,100,0.20993994176387787,0.17810779809951782,845.2978780269623
data2,EPT-STGCN,,12,32,100,0.1965130716562271,0.1743202954530716,857.3342542648315
data2,EPT-STGCN,,12,64,100,0.2020929753780365,0.17448656260967255,890.9057288169861
data2,EPT-STGCN,,24,16,100,0.20733629167079926,0.1771267205476761,791.1700868606567
data2,EPT-STGCN,,24,32,100,0.22018340229988098,0.1859789490699768,805.6731374263763
data2,EPT-STGCN,,24,64,100,0.252626895904541,0.21287080645561218,851.9136571884155
data2,EPT-STGCN,,4,16,100,0.1755739152431488,0.15465481579303741,819.0223643779755
data2,EPT-STGCN,,4,32,100,0.17953597009181976,0.1617526412010193,823.6057727336884
data2,EPT-STGCN,,4,64,100,0.18094360828399658,0.16143381595611572,849.7154490947723
data2,EPT-STGCN,,8,16,100,0.19875268638134003,0.1732727736234665,836.9788067340851
data2,EPT-STGCN,,8,32,100,0.1922212392091751,0.16296826303005219,852.6283845901489
data2,EPT-STGCN,,8,64,100,0.20415747165679932,0.17679989337921143,884.8682742118835
data2,EPT-STGCN,,12,16,100,0.1998535692691803,0.17547035217285156,856.7321631908417
data2,EPT-STGCN,,12,32,100,0.20295342803001404,0.17652586102485657,867.7045338153839
data2,EPT-STGCN,,12,64,100,0.20138850808143616,0.17384977638721466,903.7596850395203
data2,EPT-STGCN,,24,16,100,0.24467027187347412,0.20352481305599213,805.0241138935089
data2,EPT-STGCN,,24,32,100,0.21584726870059967,0.18830831348896027,817.5562951564789
data2,EPT-STGCN,,24,64,100,0.28553318977355957,0.24000054597854614,849.2902889251709
data2,EPT-STGCN,,4,16,100,0.1798529475927353,0.15817725658416748,806.1722314357758
data2,EPT-STGCN,,4,32,100,0.18258985877037048,0.16208182275295258,816.811909198761
data2,EPT-STGCN,,4,64,100,0.18803821504116058,0.17028851807117462,852.8538174629211
data2,EPT-STGCN,,8,16,100,0.20177140831947327,0.17443342506885529,832.8486795425415
data2,EPT-STGCN,,8,32,100,0.19700559973716736,0.17188571393489838,837.2203698158264
data2,EPT-STGCN,,8,64,100,0.19808560609817505,0.17132039368152618,871.616147518158
data2,EPT-STGCN,,12,16,100,0.2022848129272461,0.17502057552337646,971.194747209549
data2,EPT-STGCN,,12,32,100,0.20278696715831757,0.17641454935073853,1150.181233406067
data2,EPT-STGCN,,12,64,100,0.20747201144695282,0.17607660591602325,1188.6030719280243
data2,EPT-STGCN,,24,16,100,0.2077433466911316,0.1769474893808365,1075.9377806186676
data2,EPT-STGCN,,24,32,100,0.21715612709522247,0.19154630601406097,1100.6779112815857
data2,EPT-STGCN,,24,64,100,0.2455122470855713,0.20216192305088043,1143.8802869319916
data2,EPT-STGCN,,4,16,100,0.1858745664358139,0.16551126539707184,810.7083668708801
data2,EPT-STGCN,,4,32,100,0.19172951579093933,0.17091447114944458,818.3183903694153
data2,EPT-STGCN,,4,64,100,0.18543751537799835,0.16677701473236084,844.888105392456
data2,EPT-STGCN,,8,16,100,0.1929658204317093,0.1628425121307373,836.3499538898468
data2,EPT-STGCN,,8,32,100,0.1963912695646286,0.171512633562088,845.2297639846802
data2,EPT-STGCN,,8,64,100,0.19713270664215088,0.1709931343793869,871.5892417430878
data2,EPT-STGCN,,12,16,100,0.19681237637996674,0.16841863095760345,854.5058932304382
data2,EPT-STGCN,,12,32,100,0.20291054248809814,0.17546549439430237,873.7027940750122
data2,EPT-STGCN,,12,64,100,0.2157844603061676,0.18603196740150452,872.3505475521088
data2,EPT-STGCN,,24,16,100,0.26837456226348877,0.2217462956905365,593.3380153179169
data2,EPT-STGCN,,24,32,100,0.2696320712566376,0.2123952955007553,600.5402443408966
data2,EPT-STGCN,,24,64,100,0.20584863424301147,0.17983141541481018,630.8322131633759
data2,EPT-STGCN,,4,16,100,0.18072183430194855,0.16459529101848602,594.0623254776001
data2,EPT-STGCN,,4,32,100,0.18969152867794037,0.16956880688667297,599.7897937297821
data2,EPT-STGCN,,4,64,100,0.1849690079689026,0.16436997056007385,620.6374752521515
data2,EPT-STGCN,,8,16,100,0.1961865872144699,0.17063355445861816,613.4878916740417
data2,EPT-STGCN,,8,32,100,0.19033265113830566,0.16276229918003082,621.4348056316376
data2,EPT-STGCN,,8,64,100,0.19780877232551575,0.1661386936903,644.7269835472107
data2,EPT-STGCN,,12,16,100,0.1926591545343399,0.16763244569301605,630.127133846283
data2,EPT-STGCN,,12,32,100,0.2019653171300888,0.17694424092769623,638.5783236026764
data2,EPT-STGCN,,12,64,100,0.20009224116802216,0.17887228727340698,669.5930790901184
data2,EPT-STGCN,,24,16,100,0.2362065315246582,0.1972082555294037,611.1316697597504
data2,EPT-STGCN,,24,32,100,0.21914978325366974,0.18876947462558746,610.448680639267
data2,EPT-STGCN,,24,64,100,0.20778456330299377,0.18737594783306122,631.4298975467682
data2,EPT-STGCN,,4,16,100,0.17443834245204926,0.15352478623390198,593.2351157665253
data2,EPT-STGCN,,4,32,100,0.18736772239208221,0.1682989001274109,601.9359970092773
data2,EPT-STGCN,,4,64,100,0.18091319501399994,0.16028638184070587,620.7311010360718
data2,EPT-STGCN,,8,16,100,0.20210635662078857,0.17230314016342163,614.2794535160065
data2,EPT-STGCN,,8,32,100,0.20385503768920898,0.17374631762504578,624.4591588973999
data2,EPT-STGCN,,8,64,100,0.19126051664352417,0.16217702627182007,647.59232878685
data2,EPT-STGCN,,12,16,100,0.20740139484405518,0.18083950877189636,631.9384508132935
data2,EPT-STGCN,,12,32,100,0.1907557249069214,0.16586533188819885,637.4917488098145
data2,EPT-STGCN,,12,64,100,0.19093170762062073,0.17340248823165894,662.9760026931763
data2,EPT-STGCN,,24,16,100,0.2304733842611313,0.18838705122470856,608.2192687988281
data2,EPT-STGCN,,24,32,100,0.2407340258359909,0.2085273563861847,608.4139385223389
data2,EPT-STGCN,,24,64,100,0.24737709760665894,0.20686249434947968,638.7794001102448
data2,EPT-STGCN,,4,16,100,0.1812279224395752,0.1599576473236084,598.4057722091675
data2,EPT-STGCN,,4,32,100,0.1803179234266281,0.16092082858085632,604.127681016922
data2,EPT-STGCN,,4,64,100,0.19008629024028778,0.17161551117897034,625.6657016277313
data2,EPT-STGCN,,8,16,100,0.19701147079467773,0.17206420004367828,617.396555185318
data2,EPT-STGCN,,8,32,100,0.2061358541250229,0.17971490323543549,623.5500271320343
data2,EPT-STGCN,,8,64,100,0.20625615119934082,0.1786501109600067,648.4179804325104
data2,EPT-STGCN,,12,16,100,0.21596714854240417,0.18416301906108856,635.3685746192932
data2,EPT-STGCN,,12,32,100,0.20956864953041077,0.18236619234085083,635.1759049892426
data2,EPT-STGCN,,12,64,100,0.23222823441028595,0.19294604659080505,661.5095746517181
data2,EPT-STGCN,,24,16,100,0.24022038280963898,0.20071947574615479,595.0154504776001
data2,EPT-STGCN,,24,32,100,0.265978068113327,0.2296842634677887,602.2862801551819
data2,EPT-STGCN,,24,64,100,0.2515679597854614,0.2004917562007904,638.3502840995789
data2,EPT-STGCN,,4,16,100,0.18523359298706055,0.16613057255744934,597.4170298576355
data2,EPT-STGCN,,4,32,100,0.18222728371620178,0.16229085624217987,604.4937567710876
data2,EPT-STGCN,,4,64,100,0.17876780033111572,0.15709945559501648,630.0312626361847
data2,EPT-STGCN,,8,16,100,0.1931961178779602,0.16910038888454437,615.3129584789276
data2,EPT-STGCN,,8,32,100,0.1954365223646164,0.17098799347877502,621.1146521568298
data2,EPT-STGCN,,8,64,100,0.1973964124917984,0.1705610156059265,648.2537679672241
data2,EPT-STGCN,,12,16,100,0.2082267552614212,0.1791340708732605,625.432140827179
data2,EPT-STGCN,,12,32,100,0.21081943809986115,0.18639029562473297,633.8744246959686
data2,EPT-STGCN,,12,64,100,0.2458646148443222,0.20193777978420258,660.1369872093201
data2,EPT-STGCN,,24,16,100,0.22083653509616852,0.18329249322414398,591.4832239151001
data2,EPT-STGCN,,24,32,100,0.25022560358047485,0.2055712789297104,611.3537118434906
data2,EPT-STGCN,,24,64,100,0.2128346711397171,0.18533678352832794,640.0821783542633
data2,EPT-STGCN,,4,16,100,0.1809839904308319,0.15817879140377045,595.5352156162262
data2,EPT-STGCN,,4,32,100,0.17920589447021484,0.15978369116783142,607.6985468864441
data2,EPT-STGCN,,4,64,100,0.1800089180469513,0.16063512861728668,627.4132640361786
data2,EPT-STGCN,,8,16,100,0.19545075297355652,0.17078042030334473,616.0506088733673
data2,EPT-STGCN,,8,32,100,0.2012130618095398,0.1742396503686905,623.9514601230621
data2,EPT-STGCN,,8,64,100,0.19973397254943848,0.17380353808403015,649.9909930229187
data2,EPT-STGCN,,12,16,100,0.2055581659078598,0.17841671407222748,631.829755783081
data2,EPT-STGCN,,12,32,100,0.20103788375854492,0.17984610795974731,634.851532459259
data2,EPT-STGCN,,12,64,100,0.20056892931461334,0.17225566506385803,660.4121358394623
data2,EPT-STGCN,,24,16,100,0.25025346875190735,0.19974181056022644,594.4288392066956
data2,EPT-STGCN,,24,32,100,0.22353781759738922,0.19540607929229736,601.47536444664
data2,EPT-STGCN,,24,64,100,0.23774994909763336,0.20923180878162384,630.7410581111908
