dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,X,4,16,50,0.19071415066719055,0.17534621059894562,409.1630048751831
data2,EPT-STGCN,X,4,32,50,0.20317648351192474,0.18565037846565247,413.68294191360474
data2,EPT-STGCN,X,4,64,50,0.19133897125720978,0.17176128923892975,423.51370096206665
data2,EPT-STGCN,X,8,16,50,0.19927433133125305,0.17186561226844788,417.0552294254303
data2,EPT-STGCN,X,8,32,50,0.19736050069332123,0.17114098370075226,420.39914631843567
data2,EPT-STGCN,X,8,64,50,0.19270433485507965,0.163546621799469,451.18269062042236
data2,EPT-STGCN,X,12,16,50,0.20628724992275238,0.17297740280628204,564.0808074474335
data2,EPT-STGCN,X,12,32,50,0.19318102300167084,0.17215833067893982,571.3063011169434
data2,EPT-STGCN,X,12,64,50,0.20583407580852509,0.1755468249320984,584.4932672977448
data2,EPT-STGCN,X,24,16,50,0.2165859490633011,0.1877310425043106,533.9467167854309
data2,EPT-STGCN,X,24,32,50,0.2227875292301178,0.19119679927825928,541.3741700649261
data2,EPT-STGCN,X,24,64,50,0.23700538277626038,0.2028486728668213,546.3832218647003
data2,EPT-STGCN,X,4,16,50,0.18227076530456543,0.16573838889598846,403.89498949050903
data2,EPT-STGCN,X,4,32,50,0.18390464782714844,0.1635712832212448,411.84036803245544
data2,EPT-STGCN,X,4,64,50,0.1822032928466797,0.16013753414154053,420.56925916671753
data2,EPT-STGCN,X,8,16,50,0.20389068126678467,0.17650127410888672,415.3834583759308
data2,EPT-STGCN,X,8,32,50,0.18375393748283386,0.1586688905954361,418.84747290611267
data2,EPT-STGCN,X,8,64,50,0.1961800754070282,0.1660633683204651,431.12473821640015
data2,EPT-STGCN,X,12,16,50,0.19745218753814697,0.16803152859210968,424.11013293266296
data2,EPT-STGCN,X,12,32,50,0.20705989003181458,0.18194252252578735,429.7480697631836
data2,EPT-STGCN,X,12,64,50,0.2096550315618515,0.17617107927799225,440.77203369140625
data2,EPT-STGCN,X,24,16,50,0.2519175410270691,0.20408982038497925,394.45511412620544
data2,EPT-STGCN,X,24,32,50,0.2346709668636322,0.19207057356834412,401.1938519477844
data2,EPT-STGCN,X,24,64,50,0.22476468980312347,0.18835772573947906,416.4700171947479
data2,EPT-STGCN,X,4,16,50,0.18696749210357666,0.16522134840488434,403.97985672950745
data2,EPT-STGCN,X,4,32,50,0.18370823562145233,0.16456861793994904,410.3634741306305
data2,EPT-STGCN,X,4,64,50,0.18055886030197144,0.1639905869960785,422.06544494628906
data2,EPT-STGCN,X,8,16,50,0.1974990963935852,0.1706876903772354,414.84752368927
data2,EPT-STGCN,X,8,32,50,0.20158128440380096,0.17181992530822754,420.2402126789093
data2,EPT-STGCN,X,8,64,50,0.19899335503578186,0.16894413530826569,432.7712752819061
data2,EPT-STGCN,X,12,16,50,0.2004924863576889,0.17531640827655792,426.0273835659027
data2,EPT-STGCN,X,12,32,50,0.1980852633714676,0.17862768471240997,432.34817266464233
data2,EPT-STGCN,X,12,64,50,0.2018706500530243,0.17973743379116058,443.49031472206116
data2,EPT-STGCN,X,24,16,50,0.24069266021251678,0.20537705719470978,395.11777234077454
data2,EPT-STGCN,X,24,32,50,0.2816981375217438,0.23163224756717682,401.30058789253235
data2,EPT-STGCN,X,24,64,50,0.2602134644985199,0.20740486681461334,416.21075105667114
data2,EPT-STGCN,X,4,16,50,0.18225643038749695,0.16124482452869415,404.1283149719238
data2,EPT-STGCN,X,4,32,50,0.18285179138183594,0.16533489525318146,409.5092091560364
data2,EPT-STGCN,X,4,64,50,0.2003537118434906,0.18126167356967926,420.60974287986755
data2,EPT-STGCN,X,8,16,50,0.19722141325473785,0.17027461528778076,414.9540545940399
data2,EPT-STGCN,X,8,32,50,0.20293594896793365,0.17450959980487823,417.45310711860657
data2,EPT-STGCN,X,8,64,50,0.19742587208747864,0.16850200295448303,429.666898727417
data2,EPT-STGCN,X,12,16,50,0.19819754362106323,0.17141863703727722,423.58089566230774
data2,EPT-STGCN,X,12,32,50,0.2022273689508438,0.17271731793880463,429.1307919025421
data2,EPT-STGCN,X,12,64,50,0.1886821836233139,0.16478869318962097,437.9109265804291
data2,EPT-STGCN,X,24,16,50,0.232308030128479,0.1953897774219513,392.60996079444885
data2,EPT-STGCN,X,24,32,50,0.22171945869922638,0.1873428374528885,397.4999761581421
data2,EPT-STGCN,X,24,64,50,0.21406082808971405,0.18724139034748077,415.3256039619446
data2,EPT-STGCN,X,4,16,50,0.18619298934936523,0.16814804077148438,403.6180679798126
data2,EPT-STGCN,X,4,32,50,0.18380244076251984,0.16323181986808777,407.87452602386475
data2,EPT-STGCN,X,4,64,50,0.1856234073638916,0.1682291179895401,418.76050186157227
data2,EPT-STGCN,X,8,16,50,0.20435382425785065,0.17556720972061157,415.13428020477295
data2,EPT-STGCN,X,8,32,50,0.20172357559204102,0.17483587563037872,419.0158529281616
data2,EPT-STGCN,X,8,64,50,0.2012767493724823,0.17965540289878845,431.33421540260315
data2,EPT-STGCN,X,12,16,50,0.19909031689167023,0.17144222557544708,427.03222727775574
data2,EPT-STGCN,X,12,32,50,0.20136280357837677,0.17268425226211548,430.47192645072937
data2,EPT-STGCN,X,12,64,50,0.20109693706035614,0.17378899455070496,441.2232575416565
data2,EPT-STGCN,X,24,16,50,0.23525267839431763,0.19044984877109528,396.73476696014404
data2,EPT-STGCN,X,24,32,50,0.24612556397914886,0.20005767047405243,401.3778340816498
data2,EPT-STGCN,X,24,64,50,0.21287785470485687,0.18046262860298157,414.0853633880615
data2,EPT-STGCN,X,4,16,50,0.18313206732273102,0.16487768292427063,404.5127329826355
data2,EPT-STGCN,X,4,32,50,0.18532288074493408,0.16631732881069183,412.14106917381287
data2,EPT-STGCN,X,4,64,50,0.1829608827829361,0.1652931123971939,423.888023853302
data2,EPT-STGCN,X,8,16,50,0.20126113295555115,0.17238131165504456,416.09662890434265
data2,EPT-STGCN,X,8,32,50,0.19625790417194366,0.16952160000801086,423.74472427368164
data2,EPT-STGCN,X,8,64,50,0.20570531487464905,0.17471083998680115,441.46313095092773
data2,EPT-STGCN,X,12,16,50,0.19834810495376587,0.17432373762130737,433.45054507255554
data2,EPT-STGCN,X,12,32,50,0.19352757930755615,0.16734428703784943,437.0088675022125
data2,EPT-STGCN,X,12,64,50,0.2309633046388626,0.19519242644309998,443.2230830192566
data2,EPT-STGCN,X,24,16,50,0.21682524681091309,0.18782858550548553,393.859658241272
data2,EPT-STGCN,X,24,32,50,0.278384804725647,0.21794094145298004,403.61357069015503
data2,EPT-STGCN,X,24,64,50,0.23274847865104675,0.18938632309436798,419.3133113384247
data2,EPT-STGCN,X,4,16,50,0.18508386611938477,0.16518543660640717,400.5370669364929
data2,EPT-STGCN,X,4,32,50,0.1839194893836975,0.1631646603345871,405.6922097206116
data2,EPT-STGCN,X,4,64,50,0.20163436233997345,0.18380193412303925,419.02018189430237
data2,EPT-STGCN,X,8,16,50,0.19356487691402435,0.16669544577598572,413.8009476661682
data2,EPT-STGCN,X,8,32,50,0.1903851181268692,0.16225840151309967,416.30889344215393
data2,EPT-STGCN,X,8,64,50,0.2034536749124527,0.17378535866737366,431.2857074737549
data2,EPT-STGCN,X,12,16,50,0.20100268721580505,0.17353151738643646,421.9560673236847
data2,EPT-STGCN,X,12,32,50,0.19244854152202606,0.16882003843784332,425.29294300079346
