dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,EPT-STGCN,4,32,50,0.19174276292324066,0.17403706908226013,308.99953722953796
data2,EPT-STGCN,4,32,50,0.1881726235151291,0.17140164971351624,310.27777338027954
data2,EPT-STGCN,4,32,50,0.19380128383636475,0.1772039830684662,308.1357145309448
data2,EPT-STGCN,4,32,50,0.1938457190990448,0.17751328647136688,307.20217537879944
data2,EPT-STGCN,4,32,50,0.19297729432582855,0.17292727530002594,301.82909297943115
data2,EPT-STGCN,4,32,50,0.19271157681941986,0.17685654759407043,301.4437372684479
data2,EPT-STGCN,4,32,50,0.19543182849884033,0.17940251529216766,303.03030228614807
data2,EPT-STGCN,4,32,50,0.19355756044387817,0.17667986452579498,302.1829266548157
data2,EPT-STGCN,4,32,50,0.18843090534210205,0.17093421518802643,300.97861671447754
data2,EPT-STGCN,4,32,50,0.19431203603744507,0.1783381700515747,301.40643787384033
data2,EPT-STGCN,4,32,50,0.19214557111263275,0.17524033784866333,310.64568424224854
data2,EPT-STGCN,4,32,50,0.217230424284935,0.20296433568000793,309.01652908325195
data2,EPT-STGCN,4,32,50,0.19141925871372223,0.17527204751968384,301.7197251319885
data2,EPT-STGCN,4,32,50,0.18960273265838623,0.16854047775268555,298.2089669704437
data2,EPT-STGCN,4,32,50,0.19247153401374817,0.17590221762657166,298.160489320755
data2,EPT-STGCN,4,32,50,0.19581320881843567,0.18093633651733398,298.5023720264435
data2,EPT-STGCN,4,32,50,0.19205081462860107,0.17256435751914978,303.12156653404236
data2,EPT-STGCN,4,32,50,0.1865881383419037,0.16901609301567078,298.21736311912537
data2,EPT-STGCN,4,32,50,0.18844802677631378,0.17067021131515503,308.98823070526123
data2,EPT-STGCN,4,32,50,0.19221775233745575,0.17449338734149933,314.62443494796753
data2,EPT-STGCN,4,32,50,0.1947023868560791,0.17892858386039734,312.72725105285645
data2,EPT-STGCN,4,32,50,0.19113941490650177,0.17100194096565247,307.64197993278503
data2,EPT-STGCN,4,32,50,0.19308272004127502,0.17634853720664978,308.6929316520691
data2,EPT-STGCN,4,32,50,0.18875783681869507,0.16804620623588562,298.51686334609985
data2,EPT-STGCN,4,32,50,0.1932869404554367,0.17668944597244263,300.6135222911835
data2,EPT-STGCN,4,32,50,0.19655700027942657,0.18242564797401428,300.5187289714813
data2,EPT-STGCN,4,32,50,0.1971287727355957,0.1790095865726471,303.6399188041687
data2,EPT-STGCN,4,32,50,0.18820908665657043,0.17022179067134857,305.73978090286255
data2,EPT-STGCN,4,32,50,0.194529727101326,0.17823031544685364,316.57606291770935
data2,EPT-STGCN,4,32,50,0.1945624053478241,0.1784580945968628,304.87816858291626
