dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,32,50,0.18472853302955627,0.169149711728096,377.23410511016846
data2,STGCN,4,32,50,0.19434796273708344,0.17912845313549042,404.0023193359375
data2,STGCN,4,32,50,0.1868523210287094,0.17101097106933594,404.87234711647034
data2,STGCN,4,32,50,0.19229274988174438,0.17786230146884918,404.35410618782043
data2,STGCN,4,32,50,0.1843826174736023,0.16596719622612,404.7399082183838
data2,STGCN,4,32,50,0.1879979819059372,0.1713452935218811,403.5043730735779
data2,STGCN,4,32,50,0.20574951171875,0.1951150745153427,404.13836884498596
data2,STGCN,4,32,50,0.18538357317447662,0.17268899083137512,403.66387701034546
data2,STGCN,4,32,50,0.1947668194770813,0.17980584502220154,403.53924798965454
data2,STGCN,4,32,50,0.1806192249059677,0.16791020333766937,403.82534074783325
data2,STGCN,4,32,50,0.1857546716928482,0.16806749999523163,403.91952657699585
data2,STGCN,4,32,50,0.18204475939273834,0.16533401608467102,403.7614223957062
data2,STGCN,4,32,50,0.17998401820659637,0.16382573544979095,416.9163725376129
data2,STGCN,4,32,50,0.18290793895721436,0.1684645116329193,418.9469516277313
data2,STGCN,4,32,50,0.180601567029953,0.16830599308013916,420.97262716293335
data2,STGCN,4,32,50,0.1882445216178894,0.17341747879981995,407.3058657646179
data2,STGCN,4,32,50,0.19107724726200104,0.17462895810604095,406.50136613845825
data2,STGCN,4,32,50,0.18286919593811035,0.16646403074264526,408.495906829834
data2,STGCN,4,32,50,0.19079025089740753,0.1732485294342041,408.5747935771942
data2,STGCN,4,32,50,0.18064144253730774,0.1694616675376892,407.30098032951355
data2,STGCN,4,32,50,0.18322493135929108,0.16961008310317993,408.66411089897156
data2,STGCN,4,32,50,0.18652041256427765,0.17003168165683746,408.3060772418976
data2,STGCN,4,32,50,0.18592287600040436,0.17171896994113922,408.0452892780304
data2,STGCN,4,32,50,0.19706004858016968,0.1764834076166153,407.95320439338684
data2,STGCN,4,32,50,0.18486210703849792,0.1688746064901352,407.76327180862427
data2,STGCN,4,32,50,0.1979220062494278,0.1864655464887619,404.7804811000824
data2,STGCN,4,32,50,0.19264566898345947,0.17926214635372162,402.8286464214325
data2,STGCN,4,32,50,0.18352368474006653,0.16663378477096558,401.1421539783478
data2,STGCN,4,32,50,0.1830599308013916,0.1683896780014038,400.5898334980011
data2,STGCN,4,32,50,0.18891558051109314,0.17328418791294098,402.84174060821533
