dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,32,50,0.19253043830394745,0.1788131147623062,299.5064823627472
data2,STGCN,4,32,50,0.20781436562538147,0.19469912350177765,301.1528820991516
data2,STGCN,4,32,50,0.2114907056093216,0.19910947978496552,300.8026533126831
data2,STGCN,4,32,50,0.19765439629554749,0.18459412455558777,300.746954202652
data2,STGCN,4,32,50,0.19507743418216705,0.1816181242465973,299.45179867744446
data2,STGCN,4,32,50,0.19323942065238953,0.17995283007621765,300.3547282218933
data2,STGCN,4,32,50,0.1966593712568283,0.18534576892852783,299.2675201892853
data2,STGCN,4,32,50,0.19378122687339783,0.18058045208454132,302.3800013065338
data2,STGCN,4,32,50,0.20883764326572418,0.1959105134010315,299.4479033946991
data2,STGCN,4,32,50,0.18992215394973755,0.1713802069425583,300.2635455131531
data2,STGCN,4,32,50,0.18719246983528137,0.16911329329013824,303.470773935318
data2,STGCN,4,32,50,0.19311542809009552,0.1798265278339386,302.08001136779785
data2,STGCN,4,32,50,0.1858002245426178,0.17033438384532928,303.65178203582764
data2,STGCN,4,32,50,0.19476041197776794,0.18316145241260529,303.88228821754456
data2,STGCN,4,32,50,0.19340549409389496,0.18156428635120392,302.60890436172485
data2,STGCN,4,32,50,0.20298263430595398,0.19195261597633362,303.58111906051636
data2,STGCN,4,32,50,0.191977396607399,0.1764337420463562,303.0737340450287
data2,STGCN,4,32,50,0.2082810252904892,0.1973479688167572,302.28100967407227
data2,STGCN,4,32,50,0.18883129954338074,0.17226819694042206,303.4411883354187
data2,STGCN,4,32,50,0.19727705419063568,0.18431062996387482,300.5134491920471
data2,STGCN,4,32,50,0.21089622378349304,0.2003875970840454,298.27282452583313
data2,STGCN,4,32,50,0.19297313690185547,0.176103413105011,296.52184534072876
data2,STGCN,4,32,50,0.1915796846151352,0.17503702640533447,298.2924156188965
data2,STGCN,4,32,50,0.195283904671669,0.18207105994224548,298.25354623794556
data2,STGCN,4,32,50,0.19400255382061005,0.18216000497341156,298.0143871307373
data2,STGCN,4,32,50,0.1880415976047516,0.16974090039730072,296.8917007446289
data2,STGCN,4,32,50,0.1901160627603531,0.17301762104034424,299.23807525634766
data2,STGCN,4,32,50,0.19089873135089874,0.1773403435945511,304.2430384159088
data2,STGCN,4,32,50,0.19367918372154236,0.17978443205356598,297.2566385269165
data2,STGCN,4,32,50,0.21692830324172974,0.20605529844760895,297.61832427978516
