dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,4,64,100,0.19297178089618683,0.17932671308517456,632.2933619022369
data2,STGCN,4,64,100,0.19430387020111084,0.1814541071653366,629.0091767311096
data2,STGCN,4,64,100,0.1951030194759369,0.18269051611423492,628.0713987350464
data2,STGCN,4,64,100,0.19165776669979095,0.17877402901649475,619.3832213878632
data2,STGCN,4,64,100,0.18974776566028595,0.17240355908870697,622.7639276981354
data2,STGCN,4,64,100,0.18993379175662994,0.17246370017528534,617.6188020706177
data2,STGCN,4,64,100,0.20245176553726196,0.1893772929906845,619.7571859359741
data2,STGCN,4,64,100,0.1938248872756958,0.1810639351606369,623.4455988407135
data2,STGCN,4,64,100,0.18964897096157074,0.17634594440460205,618.849603176117
data2,STGCN,4,64,100,0.19103342294692993,0.17853090167045593,622.50683426857
data2,STGCN,4,64,100,0.19137975573539734,0.1778119057416916,618.9663345813751
data2,STGCN,4,64,100,0.19241182506084442,0.17941705882549286,625.4417912960052
data2,STGCN,4,64,100,0.18561513721942902,0.169146329164505,620.6737520694733
data2,STGCN,4,64,100,0.19046643376350403,0.17658226191997528,620.4873266220093
data2,STGCN,4,64,100,0.1908091902732849,0.17413009703159332,623.5932106971741
data2,STGCN,4,64,100,0.193218395113945,0.17990228533744812,618.9093389511108
data2,STGCN,4,64,100,0.18949003517627716,0.1723157912492752,624.0431804656982
data2,STGCN,4,64,100,0.1916579306125641,0.17943041026592255,634.8448348045349
data2,STGCN,4,64,100,0.1892857849597931,0.17194314301013947,639.0199520587921
data2,STGCN,4,64,100,0.19069157540798187,0.17466814815998077,620.5995209217072
data2,STGCN,4,64,100,0.19127164781093597,0.17815157771110535,622.4492728710175
data2,STGCN,4,64,100,0.19661608338356018,0.18022038042545319,618.7111718654633
data2,STGCN,4,64,100,0.1890929937362671,0.17094585299491882,628.264613866806
data2,STGCN,4,64,100,0.19415037333965302,0.1821654886007309,622.366607427597
data2,STGCN,4,64,100,0.1849527209997177,0.17032301425933838,618.0860662460327
data2,STGCN,4,64,100,0.18843254446983337,0.1700151264667511,615.7510843276978
data2,STGCN,4,64,100,0.18679353594779968,0.17277424037456512,617.1358134746552
data2,STGCN,4,64,100,0.18871024250984192,0.17320309579372406,616.3040392398834
data2,STGCN,4,64,100,0.19344660639762878,0.1807071715593338,619.435480594635
data2,STGCN,4,64,100,0.1935640424489975,0.1823427826166153,622.2273991107941
