dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,X,4,16,50,0.18205776810646057,0.16779787838459015,299.05199551582336
data2,STGCN,X,4,32,50,0.201436385512352,0.18804389238357544,305.6202199459076
data2,STGCN,X,4,64,50,0.19147196412086487,0.17416565120220184,316.4549036026001
data2,STGCN,X,8,16,50,0.19215872883796692,0.17396029829978943,304.4764688014984
data2,STGCN,X,8,32,50,0.20564734935760498,0.1777491718530655,309.493688583374
data2,STGCN,X,8,64,50,0.19396726787090302,0.17074787616729736,320.9844090938568
data2,STGCN,X,12,16,50,0.20144200325012207,0.17769527435302734,315.9604616165161
data2,STGCN,X,12,32,50,0.1914333999156952,0.17760850489139557,317.60878348350525
data2,STGCN,X,12,64,50,0.19541124999523163,0.17782653868198395,327.97184014320374
data2,STGCN,X,4,16,100,0.18294629454612732,0.1678468883037567,591.6293046474457
data2,STGCN,X,4,32,100,0.18111810088157654,0.16558820009231567,597.7997410297394
data2,STGCN,X,4,64,100,0.1835826337337494,0.16878487169742584,619.3966808319092
data2,STGCN,X,8,16,100,0.20405174791812897,0.175919309258461,609.5553574562073
data2,STGCN,X,8,32,100,0.19469821453094482,0.1725098043680191,621.2816889286041
data2,STGCN,X,8,64,100,0.20360861718654633,0.17777885496616364,643.9551386833191
data2,STGCN,X,12,16,100,0.20076890289783478,0.17023858428001404,629.0627813339233
data2,STGCN,X,12,32,100,0.20196571946144104,0.1721523106098175,636.3267438411713
data2,STGCN,X,12,64,100,0.19143332540988922,0.1756877303123474,661.5051109790802
data2,STGCN,X,4,16,150,0.1858397126197815,0.16900794208049774,895.0698204040527
data2,STGCN,X,4,32,150,0.17990687489509583,0.16402266919612885,903.7257895469666
data2,STGCN,X,4,64,150,0.1857786625623703,0.17065414786338806,940.3795273303986
data2,STGCN,X,8,16,150,0.20356173813343048,0.17749956250190735,920.7079286575317
data2,STGCN,X,8,32,150,0.1908949613571167,0.17090727388858795,932.4421207904816
data2,STGCN,X,8,64,150,0.18968512117862701,0.1688743680715561,974.4111785888672
data2,STGCN,X,12,16,150,0.2012677788734436,0.18001443147659302,939.1834032535553
data2,STGCN,X,12,32,150,0.20657525956630707,0.17917566001415253,950.0328631401062
data2,STGCN,X,12,64,150,0.19380390644073486,0.17154528200626373,992.0450956821442
data2,STGCN,O,4,16,50,0.18188567459583282,0.1701888144016266,301.37779545783997
data2,STGCN,O,4,32,50,0.1989041417837143,0.19071535766124725,296.45759987831116
data2,STGCN,O,4,64,50,0.1954934149980545,0.18830905854701996,308.64665365219116
data2,STGCN,O,8,16,50,0.1894235610961914,0.17790773510932922,303.5272936820984
data2,STGCN,O,8,32,50,0.21356745064258575,0.20810379087924957,307.25532627105713
data2,STGCN,O,8,64,50,0.19006749987602234,0.17556826770305634,319.69945335388184
