dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data4,EPT-STGCN,4,16,50,0.08462933450937271,0.061933983117341995,377.0739092826843
data4,EPT-STGCN,4,32,50,0.08553505688905716,0.06224711984395981,379.22640585899353
data4,EPT-STGCN,4,64,50,0.08431794494390488,0.06227906793355942,390.99352622032166
data4,EPT-STGCN,8,16,50,0.08984185755252838,0.06224585697054863,385.10866689682007
data4,EPT-STGCN,8,32,50,0.0913543626666069,0.06410063803195953,390.86686515808105
data4,EPT-STGCN,8,64,50,0.09585679322481155,0.06570255011320114,526.1237506866455
data4,EPT-STGCN,12,16,50,0.09423914551734924,0.06321234256029129,448.1908016204834
data4,EPT-STGCN,12,32,50,0.09907829016447067,0.06505805253982544,398.06483006477356
data4,EPT-STGCN,12,64,50,0.10319679230451584,0.06826674193143845,409.0550434589386
data4,EPT-STGCN,4,16,50,0.08785334974527359,0.06355797499418259,374.1226124763489
data4,EPT-STGCN,4,32,50,0.08573004603385925,0.062232133001089096,377.2850179672241
data4,EPT-STGCN,4,64,50,0.08664610981941223,0.06362698972225189,389.3002178668976
data4,EPT-STGCN,8,16,50,0.09245013445615768,0.06379563361406326,468.9024167060852
data4,EPT-STGCN,8,32,50,0.0923829898238182,0.06458911299705505,508.3990080356598
data4,EPT-STGCN,8,64,50,0.09111721068620682,0.06337369233369827,528.5906798839569
data4,EPT-STGCN,12,16,50,0.10329347848892212,0.0673808753490448,501.55032086372375
data4,EPT-STGCN,12,32,50,0.10498635470867157,0.06806714087724686,396.82520627975464
data4,EPT-STGCN,12,64,50,0.09540538489818573,0.06466487050056458,408.23904061317444
data4,EPT-STGCN,4,16,50,0.083376944065094,0.06056153401732445,378.84944343566895
data4,EPT-STGCN,4,32,50,0.0895189568400383,0.06669993698596954,376.9661066532135
data4,EPT-STGCN,4,64,50,0.08361998945474625,0.06041108816862106,388.59642219543457
data4,EPT-STGCN,8,16,50,0.11046867072582245,0.08032159507274628,388.7406883239746
data4,EPT-STGCN,8,32,50,0.0908178761601448,0.06252533197402954,388.0279507637024
data4,EPT-STGCN,8,64,50,0.09237990528345108,0.06549624353647232,397.2851710319519
data4,EPT-STGCN,12,16,50,0.10074811428785324,0.06593583524227142,391.2390966415405
data4,EPT-STGCN,12,32,50,0.09672076255083084,0.06289823353290558,395.18820214271545
data4,EPT-STGCN,12,64,50,0.09384965151548386,0.06308121979236603,405.90580797195435
data4,EPT-STGCN,4,16,50,0.08827559649944305,0.06424533575773239,376.0707893371582
data4,EPT-STGCN,4,32,50,0.08484474569559097,0.06191263720393181,379.8910884857178
data4,EPT-STGCN,4,64,50,0.08434948325157166,0.06147473677992821,387.44314980506897
data4,EPT-STGCN,8,16,50,0.09651193767786026,0.06482221931219101,384.4369921684265
data4,EPT-STGCN,8,32,50,0.09327195584774017,0.0628233328461647,390.43748235702515
data4,EPT-STGCN,8,64,50,0.09433536231517792,0.06621473282575607,398.6685733795166
data4,EPT-STGCN,12,16,50,0.10374009609222412,0.06672397255897522,393.7217893600464
data4,EPT-STGCN,12,32,50,0.0961533710360527,0.06353665143251419,397.6030786037445
data4,EPT-STGCN,12,64,50,0.09757973253726959,0.0652429535984993,407.40189480781555
data4,EPT-STGCN,4,16,50,0.08400055766105652,0.0618697926402092,373.79725527763367
data4,EPT-STGCN,4,32,50,0.0853826105594635,0.06155121326446533,379.85673809051514
data4,EPT-STGCN,4,64,50,0.08467285335063934,0.06123192235827446,391.16499495506287
data4,EPT-STGCN,8,16,50,0.09179858863353729,0.06296989321708679,382.8884084224701
data4,EPT-STGCN,8,32,50,0.09474346786737442,0.06416841596364975,388.6855797767639
data4,EPT-STGCN,8,64,50,0.09071223437786102,0.06278207898139954,402.9552023410797
data4,EPT-STGCN,12,16,50,0.10981996357440948,0.06914826482534409,393.0200846195221
data4,EPT-STGCN,12,32,50,0.09586501121520996,0.06357185542583466,398.2459046840668
data4,EPT-STGCN,12,64,50,0.09599507600069046,0.06452509015798569,407.13990020751953
data4,EPT-STGCN,4,16,50,0.08505544811487198,0.06246485561132431,371.7343020439148
data4,EPT-STGCN,4,32,50,0.08447879552841187,0.06107993796467781,377.48875737190247
data4,EPT-STGCN,4,64,50,0.08586973696947098,0.061846911907196045,390.8195595741272
data4,EPT-STGCN,8,16,50,0.09594341367483139,0.06425134092569351,384.60627365112305
data4,EPT-STGCN,8,32,50,0.09189900010824203,0.0632440522313118,387.33625197410583
