dataset,method,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
ver2,Ver2,4,4,50,0.2072272151708603,0.31317129731178284,8.136874675750732
ver2,Ver2,4,16,50,0.3584625720977783,0.6766842603683472,8.42464542388916
ver2,Ver2,4,32,50,0.46528077125549316,0.866346538066864,8.660791873931885
ver2,Ver2,8,4,50,0.5259266495704651,0.6251029968261719,7.685330629348755
ver2,Ver2,8,16,50,0.21075494587421417,0.31493663787841797,8.013618230819702
ver2,Ver2,8,32,50,0.525868833065033,0.6238394975662231,8.457072257995605
ver2,Ver2,24,4,50,0.5959970951080322,0.7307425141334534,6.754205703735352
ver2,Ver2,24,16,50,0.6879286766052246,0.8921680450439453,6.936297655105591
ver2,Ver2,24,32,50,0.7322794198989868,0.9617831707000732,6.909313440322876
ver2,Ver2,4,4,50,0.17786915600299835,0.25452813506126404,7.956765651702881
ver2,Ver2,4,16,50,0.294420063495636,0.47043177485466003,8.576340198516846
ver2,Ver2,4,32,50,0.35007244348526,0.5895308256149292,8.924103021621704
ver2,Ver2,8,4,50,0.2601543366909027,0.43613970279693604,7.848209381103516
ver2,Ver2,8,16,50,0.30646607279777527,0.48537978529930115,8.147528409957886
ver2,Ver2,8,32,50,0.5791053175926208,0.9741909503936768,8.227031469345093
ver2,Ver2,24,4,50,0.5348379015922546,0.5746943950653076,6.671367883682251
ver2,Ver2,24,16,50,0.7130789160728455,0.9323692917823792,6.873633146286011
ver2,Ver2,24,32,50,0.11477859318256378,0.106671541929245,6.981828689575195
ver2,Ver2,4,4,50,0.18572820723056793,0.27233216166496277,7.986423492431641
ver2,Ver2,4,16,50,0.15068373084068298,0.21507525444030762,8.330185651779175
ver2,Ver2,4,32,50,0.34131282567977905,0.6059598326683044,8.544764995574951
ver2,Ver2,8,4,50,0.5287566781044006,0.6580729484558105,7.5300867557525635
ver2,Ver2,8,16,50,0.3213580846786499,0.5557082295417786,7.955491781234741
ver2,Ver2,8,32,50,0.4293292760848999,0.7677178382873535,8.275742769241333
ver2,Ver2,24,4,50,0.5482159852981567,0.6220818758010864,6.54584002494812
ver2,Ver2,24,16,50,0.6264693737030029,0.7877888083457947,6.6696083545684814
ver2,Ver2,24,32,50,0.6845458149909973,0.8866569995880127,6.882003307342529
ver2,Ver2,4,4,50,0.13272574543952942,0.17237986624240875,7.890451908111572
ver2,Ver2,4,16,50,0.27240294218063354,0.46252012252807617,8.347399711608887
ver2,Ver2,4,32,50,0.46502047777175903,0.8338049054145813,8.527588844299316
ver2,Ver2,8,4,50,0.5284367203712463,0.6570984125137329,7.520856142044067
ver2,Ver2,8,16,50,0.5259069204330444,0.6249873042106628,7.940180778503418
ver2,Ver2,8,32,50,0.3545086681842804,0.6481133699417114,8.230903387069702
ver2,Ver2,24,4,50,0.5691192746162415,0.6744735836982727,6.456512928009033
ver2,Ver2,24,16,50,0.5958883166313171,0.7305287718772888,6.637797117233276
ver2,Ver2,24,32,50,0.7274304032325745,0.9547937512397766,6.828243732452393
ver2,Ver2,4,4,50,0.13282868266105652,0.17095468938350677,7.866498947143555
ver2,Ver2,4,16,50,0.5063695311546326,0.9149366617202759,8.28522801399231
ver2,Ver2,4,32,50,0.45193490386009216,0.7873651385307312,8.496983528137207
ver2,Ver2,8,4,50,0.5259426832199097,0.6254355907440186,7.532241344451904
ver2,Ver2,8,16,50,0.24083715677261353,0.3978431820869446,7.869461536407471
ver2,Ver2,8,32,50,0.27654239535331726,0.47599276900291443,8.310312271118164
ver2,Ver2,24,4,50,0.548270583152771,0.6222364902496338,6.515322685241699
ver2,Ver2,24,16,50,0.5959339141845703,0.7306084036827087,6.651960849761963
ver2,Ver2,24,32,50,0.7275685667991638,0.95492023229599,6.905680418014526
ver2,Ver2,4,4,50,0.14979423582553864,0.19993631541728973,8.220022201538086
ver2,Ver2,4,16,50,0.29228609800338745,0.4861117899417877,8.56691861152649
ver2,Ver2,4,32,50,0.4610520005226135,0.8565772771835327,8.809216499328613
ver2,Ver2,8,4,50,0.3274601697921753,0.5484945178031921,7.730940103530884
ver2,Ver2,8,16,50,0.27673596143722534,0.49205124378204346,8.19765591621399
ver2,Ver2,8,32,50,0.58806312084198,1.051630973815918,8.57438588142395
ver2,Ver2,24,4,50,0.5483800768852234,0.6225563287734985,6.694145679473877
ver2,Ver2,24,16,50,0.6876774430274963,0.8917455077171326,6.84770941734314
ver2,Ver2,24,32,50,0.712618350982666,0.9316444993019104,7.018946170806885
ver2,Ver2,4,4,50,0.5141586661338806,0.6356943249702454,8.172444343566895
ver2,Ver2,4,16,50,0.2797812819480896,0.4900219142436981,8.574917554855347
ver2,Ver2,4,32,50,0.3636392056941986,0.6695242524147034,8.92795991897583
ver2,Ver2,8,4,50,0.5259245038032532,0.6250577569007874,7.803916692733765
ver2,Ver2,8,16,50,0.5480507016181946,0.7496258616447449,8.209755897521973
ver2,Ver2,8,32,50,0.4182051420211792,0.8040403723716736,8.58196496963501
ver2,Ver2,24,4,50,0.5692785978317261,0.674841582775116,6.8099024295806885
ver2,Ver2,24,16,50,0.6581212878227234,0.8428712487220764,6.8360936641693115
ver2,Ver2,24,32,50,0.7110867500305176,0.9292846322059631,7.0450119972229
ver2,Ver2,4,4,50,0.17290417850017548,0.23465418815612793,7.994652032852173
ver2,Ver2,4,16,50,0.4275885820388794,0.7404433488845825,8.559155464172363
ver2,Ver2,4,32,50,0.49482911825180054,0.9107799530029297,8.955881118774414
ver2,Ver2,8,4,50,0.5259209275245667,0.6250936985015869,7.671032667160034
ver2,Ver2,8,16,50,0.23497723042964935,0.37165719270706177,8.235397338867188
ver2,Ver2,8,32,50,0.5262854099273682,0.6321834921836853,8.526382207870483
ver2,Ver2,24,4,50,0.569379448890686,0.6750722527503967,6.7076990604400635
ver2,Ver2,24,16,50,0.6879602670669556,0.8922235369682312,6.939501523971558
ver2,Ver2,24,32,50,0.8538177013397217,1.2715210914611816,7.127798795700073
ver2,Ver2,4,4,50,0.12982703745365143,0.17025968432426453,8.17023515701294
ver2,Ver2,4,16,50,0.2144828736782074,0.3271591067314148,8.600965738296509
ver2,Ver2,4,32,50,0.20923422276973724,0.3641860783100128,8.739335298538208
ver2,Ver2,8,4,50,0.1317792683839798,0.17190688848495483,7.796413421630859
ver2,Ver2,8,16,50,0.29986491799354553,0.5254795551300049,8.192076444625854
ver2,Ver2,8,32,50,0.5880245566368103,1.0252573490142822,8.47972846031189
ver2,Ver2,24,4,50,0.535147488117218,0.5762042999267578,6.8025171756744385
ver2,Ver2,24,16,50,0.6583698987960815,0.8432945013046265,6.9607322216033936
ver2,Ver2,24,32,50,0.22512149810791016,0.26847514510154724,7.135075807571411
ver2,Ver2,4,4,50,0.1891399472951889,0.28647667169570923,7.945003986358643
ver2,Ver2,4,16,50,0.16034138202667236,0.22864015400409698,8.521773099899292
ver2,Ver2,4,32,50,0.455182820558548,0.8321942687034607,8.687780380249023
ver2,Ver2,8,4,50,0.5259338021278381,0.6252526044845581,7.805321216583252
ver2,Ver2,8,16,50,0.24289314448833466,0.4214369058609009,8.107961893081665
ver2,Ver2,8,32,50,0.5246214270591736,0.9562922716140747,8.454042196273804
ver2,Ver2,24,4,50,0.5689440369606018,0.6740875840187073,6.743757247924805
ver2,Ver2,24,16,50,0.7286930084228516,0.956766664981842,6.776157855987549
ver2,Ver2,24,32,50,0.12368011474609375,0.10850456357002258,7.092180967330933
ver2,Ver2,4,4,50,0.16988416016101837,0.22893264889717102,8.031872749328613
ver2,Ver2,4,16,50,0.24649502336978912,0.3772048056125641,8.545328140258789
ver2,Ver2,4,32,50,0.18874254822731018,0.3009927570819855,8.697446823120117
ver2,Ver2,8,4,50,0.52594393491745,0.6254048347473145,7.610854625701904
ver2,Ver2,8,16,50,0.2377130091190338,0.3961716890335083,8.184793472290039
ver2,Ver2,8,32,50,0.6476266980171204,1.1438894271850586,8.463517189025879
ver2,Ver2,24,4,50,0.5352165699005127,0.5765348672866821,6.706533432006836
ver2,Ver2,24,16,50,0.6245372295379639,0.7843299508094788,6.8097450733184814
ver2,Ver2,24,32,50,0.5964661240577698,0.8815443515777588,6.9254961013793945
ver2,Ver2,4,4,50,0.14668911695480347,0.1950024515390396,7.976974248886108
ver2,Ver2,4,16,50,0.2574581503868103,0.4251393675804138,8.42860198020935
ver2,Ver2,4,32,50,0.5932400226593018,1.1259310245513916,8.650635957717896
ver2,Ver2,8,4,50,0.21481747925281525,0.3659653961658478,7.6305577754974365
ver2,Ver2,8,16,50,0.24397340416908264,0.3863585293292999,8.075404644012451
ver2,Ver2,8,32,50,0.21240375936031342,0.3492635190486908,8.230900764465332
ver2,Ver2,24,4,50,0.5691275000572205,0.6745027899742126,6.4876484870910645
ver2,Ver2,24,16,50,0.712710976600647,0.9318374991416931,6.652235507965088
ver2,Ver2,24,32,50,0.1333867460489273,0.11909337341785431,6.808900833129883
ver2,Ver2,4,4,50,0.19649702310562134,0.2917536199092865,7.8808019161224365
ver2,Ver2,4,16,50,0.17700976133346558,0.2577590048313141,8.297031879425049
ver2,Ver2,4,32,50,0.45490819215774536,0.7955008149147034,8.553677320480347
ver2,Ver2,8,4,50,0.32689985632896423,0.49805817008018494,7.526266813278198
ver2,Ver2,8,16,50,0.2537726163864136,0.4019060730934143,7.927183151245117
ver2,Ver2,8,32,50,0.6382848024368286,1.1512067317962646,8.217016220092773
ver2,Ver2,24,4,50,0.5484497547149658,0.6227524280548096,6.516277074813843
ver2,Ver2,24,16,50,0.06739144772291183,0.06391376256942749,6.643108367919922
ver2,Ver2,24,32,50,0.7286927700042725,0.9568044543266296,6.810006141662598
ver2,Ver2,4,4,50,0.19495365023612976,0.2823297679424286,7.852945566177368
ver2,Ver2,4,16,50,0.17815613746643066,0.2594261169433594,8.334391355514526
ver2,Ver2,4,32,50,0.38435497879981995,0.6850237846374512,8.470521688461304
ver2,Ver2,8,4,50,0.24271823465824127,0.3923425078392029,7.511904954910278
ver2,Ver2,8,16,50,0.2565220594406128,0.4043658673763275,7.921290397644043
ver2,Ver2,8,32,50,0.4647998809814453,0.826306164264679,8.285751581192017
ver2,Ver2,24,4,50,0.5693432092666626,0.6749899387359619,6.5842015743255615
ver2,Ver2,24,16,50,0.6879895925521851,0.8922703266143799,6.703714609146118
ver2,Ver2,24,32,50,0.7323553562164307,0.9624826312065125,7.111093044281006
ver2,Ver2,4,4,50,0.15921032428741455,0.21947121620178223,8.18364667892456
ver2,Ver2,4,16,50,0.5141586661338806,0.6356949210166931,8.407084941864014
ver2,Ver2,4,32,50,0.1742834895849228,0.2630198299884796,8.722315549850464
ver2,Ver2,8,4,50,0.21152864396572113,0.35863155126571655,7.728931188583374
ver2,Ver2,8,16,50,0.5259382724761963,0.625344455242157,8.058572769165039
